turbine_file,n_rows,n_anomalies,accuracy,precision,recall,f1,fbeta,lead_time_minutes
0_cleaned.csv,2300,2012,0.17521739130434782,1.0,0.05715705765407555,0.1081335213916314,0.08335346702101956,-4050.0
10_cleaned.csv,1269,981,0.28132387706855794,0.9859154929577465,0.07135575942915393,0.13307984790874525,0.10329562223315297,2490.0
13_cleaned.csv,3583,0,0.9584147362545353,0.0,1.0,0.0,0.0,
14_cleaned.csv,1901,0,0.9505523408732246,0.0,1.0,0.0,0.0,
17_cleaned.csv,2781,0,0.9910104279036318,0.0,1.0,0.0,0.0,
22_cleaned.csv,1005,1005,0.020895522388059702,1.0,0.020895522388059702,0.04093567251461988,0.031019202363367797,-2820.0
24_cleaned.csv,2714,0,0.97310243183493,0.0,1.0,0.0,0.0,
25_cleaned.csv,2423,0,0.9467602146099876,0.0,1.0,0.0,0.0,
26_cleaned.csv,1009,1009,0.04558969276511397,1.0,0.04558969276511397,0.08720379146919431,0.06686046511627906,-240.0
38_cleaned.csv,2544,0,0.9084119496855346,0.0,1.0,0.0,0.0,
3_cleaned.csv,3302,0,0.952755905511811,0.0,1.0,0.0,0.0,
40_cleaned.csv,4652,4508,0.057394668959587274,1.0,0.027284826974267967,0.05312027639818614,0.040376408797461426,-3700.0
42_cleaned.csv,1007,1007,0.04270109235352532,1.0,0.04270109235352532,0.08190476190476191,0.06271268838113758,-2840.0
45_cleaned.csv,1440,1008,0.2902777777777778,0.25,0.006944444444444444,0.013513513513513514,0.010273972602739725,1690.0
51_cleaned.csv,2393,0,0.9674049310488926,0.0,1.0,0.0,0.0,
68_cleaned.csv,2014,2014,0.0407149950347567,1.0,0.0407149950347567,0.07824427480916031,0.05985401459854014,-7270.0
69_cleaned.csv,2593,0,0.9568067875048206,0.0,1.0,0.0,0.0,
71_cleaned.csv,2449,0,0.9963250306247448,0.0,1.0,0.0,0.0,
72_cleaned.csv,1441,1009,0.3053435114503817,0.5571428571428572,0.03865213082259663,0.07228915662650602,0.056034482758620684,3890.0
73_cleaned.csv,1441,1009,0.3386537126995142,0.6029411764705882,0.16253716551040634,0.25604996096799376,0.2148471615720524,4260.0
84_cleaned.csv,1293,1005,0.2266047950502707,1.0,0.004975124378109453,0.009900990099009901,0.007444168734491314,-5780.0
92_cleaned.csv,1774,0,0.9904171364148816,0.0,1.0,0.0,0.0,
