contamination,fbeta,precision,recall,f1,accuracy,care_score,care_coverage_fbeta,care_earliness_ws,care_reliability_efbeta,care_accuracy,anomaly_turbines,early_warning_turbines,median_lead_time_minutes,n_rows,n_anomalies
0.5,0.5135939049209414,0.4041059330732909,0.5940725538721555,0.4810126582278481,0.5512592968221771,0.5520638947111147,0.6564049858070162,0.5748206878861821,0.4945054945054945,0.5172941526784401,11,7,2880.0,47328,16567
0.4,0.46615916432119986,0.4153496591769755,0.49652924488440875,0.45232596502804356,0.579107505070994,0.5637756926760454,0.6243885385326394,0.4791013558484625,0.4945054945054945,0.6104415372468154,11,7,2880.0,47328,16567
0.3,0.3947729826459695,0.4237469847225945,0.3817227017565039,0.4016385633990664,0.6018635902636917,0.575490396555322,0.5726510340823591,0.3693704552695735,0.5172413793103449,0.7090945570571663,11,7,2880.0,47328,16567
0.2,0.3013179609957927,0.4370385354505917,0.26081970181686487,0.32668027519467757,0.6236477349560514,0.5583350326807555,0.4821007001162729,0.25830414923883976,0.423728813559322,0.8137707502446715,11,7,2880.0,47328,16567
0.1,0.14723877420727813,0.4138627187079408,0.11136596849157965,0.17550535077288942,0.633726335361731,0.5164854743067279,0.3113229059683438,0.12093280956634668,0.3225806451612903,0.9137955054188294,11,5,2560.0,47328,16567
auto,0.1310832236046543,0.3986271144888453,0.09814691857306694,0.15751235106073816,0.6324797160243407,0.48175310947785627,0.28257349731097603,0.10641558884064879,0.18518518518518517,0.9172956380262356,11,5,2510.0,47328,16567
0.05,0.061137238135955535,0.3664787288569964,0.043158085350395364,0.07722216222054218,0.6389452332657201,0.4253819835199553,0.16229513708849,0.04657126382701162,0.0,0.9590217583421374,11,4,3190.0,47328,16567
0.02,0.02677861246133451,0.37361282367447596,0.018289370435202512,0.034871676832777074,0.6456220419202163,0.4130785348908141,0.08142226620953996,0.01808156011643138,0.0,0.9829444240640496,11,3,3840.0,47328,16567
